row,occupation_label,indent_spaces,unemployment_rate,unemployed_thousands,labor_force_thousands
483,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",0,4.6,5,112
484,Control and valve installers and repairers,0,–,1,24
485,"Heating, air conditioning, and refrigeration mechanics and installers",0,5,30,590
486,Home appliance repairers,0,4.5,2,55
487,Industrial and refractory machinery mechanics,0,3,10,339
488,"Maintenance and repair workers, general",0,3.9,29,746
489,"Maintenance workers, machinery",0,1,1,68
490,Millwrights,0,–,2,47
491,Electrical power-line installers and repairers,0,1.4,2,146
492,Telecommunications line installers and repairers,0,3.4,4,113
493,Precision instrument and equipment repairers,0,0.7,0,55
494,Wind turbine service technicians,0,–,1,10
495,"Coin, vending, and amusement machine servicers and repairers",0,–,0,39
496,Commercial divers,0,–,0,1
497,Locksmiths and safe repairers,0,–,0,36
498,Manufactured building and mobile home installers,0,–,1,2
499,Riggers,0,–,1,16
500,"Helpers--installation, maintenance, and repair workers",0,–,2,16
501,"Other installation, maintenance, and repair workers",0,4.4,10,221
502,"Production, transportation, and material moving occupations",0,5.2,1089,20859
503,Production occupations,0,4.1,337,8227
504,First-line supervisors of production and operating workers,0,1.9,15,764
505,"Aircraft structure, surfaces, rigging, and systems assemblers",0,–,0,3
506,"Electrical, electronics, and electromechanical assemblers",0,2.8,3,116
507,Engine and other machine assemblers,0,–,1,15
508,Structural metal fabricators and fitters,0,–,0,22
509,Other assemblers and fabricators,0,5.6,52,925
510,Bakers,0,4.1,12,289
511,"Butchers and other meat, poultry, and fish processing workers",0,3.9,10,265
512,"Food and tobacco roasting, baking, and drying machine operators and tenders",0,–,1,14
513,Food batchmakers,0,2.2,2,95
514,Food cooking machine operators and tenders,0,–,1,16
515,"Food processing workers, all other",0,8.8,11,130
516,Computer numerically controlled tool operators and programmers,0,6.5,5,83
517,"Forming machine setters, operators, and tenders, metal and plastic",0,–,0,17
518,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",0,6.3,4,56
519,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",0,–,3,39
520,"Other machine tool setters, operators, and tenders, metal and plastic",0,–,0,4
521,Machinists,0,3.6,12,321
522,"Metal furnace operators, tenders, pourers, and casters",0,–,2,22
523,"Model makers and patternmakers, metal and plastic",0,–,1,3
524,"Molders and molding machine setters, operators, and tenders, metal and plastic",0,–,2,37
